ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,SplitJointWordsDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,LowercaseDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl
4,2,17,26,May I Please have your card ID number,May I Please have your card ID number,May I Please have your card ID number,May I Please have your card ID number,May I Please have your card ID number,May I Please have your card ID number,may i please have your card id number,may please card id number ,may please card id number 
4,1,28,33,2436,2436,2436,# ,# , , ,  , 
4,2,38,43,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
4,1,51,54,3797,3797,3797,# ,# , , ,  , 
4,2,63,73,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
4,1,74,84,81 66.,81 66.,81 66.,#  # .,#  # .,   ,   ,  , 
4,2,86,88,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
4,1,93,97,6613,6613,6613,# ,# , , ,  , 
4,2,106,113,6613,6613,6613,# ,# , , ,  , 
4,2,117,120,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
4,2,124,130,Alright can I get your name please.,Alright can I get your name please.,Alright can I get your name please.,Alright can I get your name please.,Alright can I get your name please.,Alright can I get your name please,alright can i get your name please,alright get name please ,alright get name please 
4,1,131,137,kela.,kela.,kela.,kela.,kela.,kela,kela,kela ,kela 
4,2,142,148,Thank you Kela can i have your access code please.,Thank you Kela can i have your access code please.,Thank you Kela can i have your access code please.,Thank you Kela can i have your access code please.,Thank you Kela can i have your access code please.,Thank you Kela can i have your access code please,thank you kela can i have your access code please,thank kela access code please ,thank kela access code please 
4,1,150,159,zero zero,zero zero,zero zero,zero zero,zero zero,zero zero,zero zero,zero zero ,zero zero 
4,1,169,178,4062,4062,4062,# ,# , , ,  , 
4,2,186,193,Sorry of the.,Sorry of the.,Sorry of the.,Sorry of the.,Sorry of the.,Sorry of the,sorry of the,sorry ,sorry 
4,2,201,210,Sorry that's not correct.,Sorry that's not correct.,Sorry that is not correct.,Sorry that is not correct.,Sorry that is not correct.,Sorry that is not correct,sorry that is not correct,sorry correct ,sorry correct 
4,1,212,219,Oh cant remember it then.,Oh cant remember it then.,Oh cant remember it then.,Oh cant remember it then.,Oh cant remember it then.,Oh cant remember it then,oh cant remember it then,oh cant remember ,oh cant remember 
4,2,227,231,Okay can you.,Okay can you.,Okay can you.,Okay can you.,Okay can you.,Okay can you,okay can you,okay ,okay 
4,2,239,244,For.,For.,For.,For.,For.,For,for,,
4,2,248,257,Can you confirm your date of birth first please,Can you confirm your date of birth first please,Can you confirm your date of birth first please,Can you confirm your date of birth first please,Can you confirm your date of birth first please,Can you confirm your date of birth first please,can you confirm your date of birth first please,confirm date birth first please ,confirm date birth first please 
4,1,264,268,Instead of February 2000.,Instead of February 2000.,Instead of February 2000.,Instead of February # .,Instead of February # .,Instead of February  ,instead of february  ,instead february  ,instead february 
4,2,270,274,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
4,2,277,279,And.,And.,And.,And.,And.,And,and,,
4,2,283,285,The address we have for you on file,The address we have for you on file,The address we have for you on file,The address we have for you on file,The address we have for you on file,The address we have for you on file,the address we have for you on file,address file ,address file 
4,1,287,291,12 Boston St.,12 Boston St.,12 Boston St.,#  Boston St.,#  Boston St.,  Boston St,  boston st, boston st , boston st 
4,1,301,307,Fund way.,Fund way.,Fund way.,Fund way.,Fund way.,Fund way,fund way,fund way ,fund way 
4,2,314,318,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
4,2,325,326,And your mobile phone number.,And your mobile phone number.,And your mobile phone number.,And your mobile phone number.,And your mobile phone number.,And your mobile phone number,and your mobile phone number,mobile phone number ,mobile phone number 
4,2,327,333,Please.,Please.,Please.,Please.,Please.,Please,please,please ,please 
4,1,334,335,54103554 05,54103554 05,54103554 05,#  # ,#  # ,   ,   ,  , 
4,1,344,351,right,right,right,right,right,right,right,right ,right 
4,2,361,367,Perfect.,Perfect.,Perfect.,Perfect.,Perfect.,Perfect,perfect,perfect ,perfect 
4,2,377,384,So we're sending the access code to that number for future interactions and references.,So we're sending the access code to that number for future interactions and references.,So we are sending the access code to that number for future interactions and references.,So we are sending the access code to that number for future interactions and references.,So we are sending the access code to that number for future interactions and references.,So we are sending the access code to that number for future interactions and references,so we are sending the access code to that number for future interactions and references,sending access code number future interactions references ,send access code number future interactions reference 
4,2,389,396,You should receive it within the next 30 seconds or so.,You should receive it within the next 30 seconds or so.,You should receive it within the next 30 seconds or so.,You should receive it within the next #  seconds or so.,You should receive it within the next #  seconds or so.,You should receive it within the next   seconds or so,you should receive it within the next   seconds or so,receive within next seconds ,receive within next second 
4,2,397,398,But since you've already confirmed these details.,But since you've already confirmed these details.,But since you have already confirmed these details.,But since you have already confirmed these details.,But since you have already confirmed these details.,But since you have already confirmed these details,but since you have already confirmed these details,since already confirmed details ,since already confirm detail 
4,2,400,410,How can I assist you today.,How can I assist you today.,How can I assist you today.,How can I assist you today.,How can I assist you today.,How can I assist you today,how can i assist you today,assist today ,assist today 
4,1,415,419,Alright when I set the card up.,Alright when I set the card up.,Alright when I set the card up.,Alright when I set the card up.,Alright when I set the card up.,Alright when I set the card up,alright when i set the card up,alright set card ,alright set card 
4,1,420,422,Apparently I made a memorable word.,Apparently I made a memorable word.,Apparently I made a memorable word.,Apparently I made a memorable word.,Apparently I made a memorable word.,Apparently I made a memorable word,apparently i made a memorable word,apparently made memorable word ,apparently make memorable word 
4,1,428,429,And obviously I've forgotten the memorable word.,And obviously I've forgotten the memorable word.,And obviously I've forgotten the memorable word.,And obviously I've forgotten the memorable word.,And obviously I've forgotten the memorable word.,And obviously Ive forgotten the memorable word,and obviously ive forgotten the memorable word,obviously ive forgotten memorable word ,obviously ive forget memorable word 
4,1,438,447,Sorry I locked out my card.,Sorry I locked out my card.,Sorry I locked out my card.,Sorry I locked out my card.,Sorry I locked out my card.,Sorry I locked out my card,sorry i locked out my card,sorry locked card ,sorry lock card 
4,2,457,466,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
4,2,471,480,We don't actually have that as an available feature anymore if you're still trying to log in to the old log in page you won't be able to log in if you wanted to manage your account online.,We don't actually have that as an available feature anymore if you're still trying to log in to the old log in page you won't be able to log in if you wanted to manage your account online.,We do not actually have that as an available feature anymore if you are still trying to log in to the old log in page you will not be able to log in if you wanted to manage your account online.,We do not actually have that as an available feature anymore if you are still trying to log in to the old log in page you will not be able to log in if you wanted to manage your account online.,We do not actually have that as an available feature anymore if you are still trying to log in to the old log in page you will not be able to log in if you wanted to manage your account online.,We do not actually have that as an available feature anymore if you are still trying to log in to the old log in page you will not be able to log in if you wanted to manage your account online,we do not actually have that as an available feature anymore if you are still trying to log in to the old log in page you will not be able to log in if you wanted to manage your account online,actually available feature anymore still trying log old log page able log wanted manage account online ,actually available feature anymore still try log old log page able log want manage account online 
